image_id,label
rembrandt_portrait-of-rembrandt-s-father,1
tom-thomson_the-jack-pine-1917,0
giovanni-battista-piranesi_temple-of-ceres-and-faustina-1,4
maurice-denis_procession-de-fete-dieu,0
jan-steen_merry-threesom-1672,1
ivan-shishkin_forest-with-a-seated-figure,0
jean-david_heart,8
benjamin-west_thetis-bringing-the-armor-to-achilles-1808,1
pierre-alechinsky_vocabulaire-i,0
frans-hals_portrait-of-a-man,6
william-blake_illustration-to-milton-s-paradise-lost-1807-1,9
giovanni-paolo-panini_view-of-the-roman-forum-1747,1
ivan-aivazovsky_view-of-gunib-1868,7
eustache-le-sueur_st-gervase-and-st-protase-brought-before-anastasius,1
ivan-bilibin_illustration-for-the-russian-fairy-story-sister-alyonushka-and-brother-ivanushka-1901-3,0
carl-larsson_the-still-life-painter,0
edwin-henry-landseer_alexander-and-diogenes,7
ilya-repin_raising-of-jairus-daughter-1870,4
odilon-redon_the-buddha,0
jozsef-rippl-ronai_uncle-piacsek-dresser-in-front-of-the-black-1906,2
mykola-yaroshenko_funeral-of-firstborn-1893,6
maurice-denis_trinity-evening,2
jean-auguste-dominique-ingres_virgin-of-the-adoption-1858,4
odilon-redon_woman-and-the-mountain-landscape,1
heorhiy-narbut_illustration-to-three-fables-of-krylov-1911-1,0
bernardo-strozzi_the-piper,1
orest-kiprensky_portrait-of-nikita-mikhailovich-muraviev-1813,7
heorhiy-narbut_self-portrait-conversation-of-narbut-and-l-grabuzdov-1919,2
emily-carr_gitwangak-queen-charlotte-islands-1912,5
giovanni-battista-piranesi_fireplace-in-the-frieze-horse-skull-between-two-cameos-rich-interior-wing,4
francisco-goya_old-eating-soup-1823,1
ernst-ludwig-kirchner_two-bathing-girls-in-a-bathtub,2
konstantin-vasilyev_not-detected-272813,0
a-y-jackson_smart-river-alaska-1945,2
pablo-picasso_sleeping-man-and-sitting-woman-1,7
pablo-picasso_the-man-with-a-pipe-1968,8
nikolay-bogdanov-belsky_portrait-of-a-peasant,7
claude-monet_boat-at-low-tide-at-fecamp,3
paul-klee_clouds-over-bor-1940,3
jacob-van-strij_winter-city-view-with-children,3
konstantin-somov_cover-of-theater-program-theatre-de-l-hermitage,0
jose-gutierrez-solana_the-chorus-girls,1
joan-miro_not_detected_227985,8
m-c-escher_baby,0
egon-schiele_village-with-mountains-1907,3
ion-pacea_crizanteme,5
ivan-bilibin_costume-design-for-the-opera-fairytale-of-the-tsar-saltan-by-nikolai-rimsky-korsakov-1936,0
rene-magritte_the-glass-house-1939,2
vasily-surikov_salome-brings-head-of-saint-john-the-baptist-to-her-mother-herodias-1872,1
bartolome-esteban-murillo_ecce-homo,1
zdislav-beksinski_untitled-625,9
felicien-rops_bust-of-king-leopold-ii,5
leon-bonnat_giotto-gardant-les-ch-vres-1850,4
chronis-botsoglou_tribute-to-byzantine-masters-1986,3
konstantin-korovin_first-steps-of-prospectors-in-tundra-1894,5
alfred-sisley_banks-of-the-seine-wind-blowing-1894,3
lucian-freud_the-painter-s-garden-2004,6
candido-portinari_meu-primeiro-trabalho-1921,3
ivan-shishkin_clearing-in-the-forest-1889,6
konstantinos-parthenis_landscape-1903-1,5
jan-matejko_aleksander-jagiellonczyk,7
eugene-delacroix_the-miraculous-draught-of-fishes,1
john-singleton-copley_portrait-of-familie-copley-1776,4
raphael-kirchner_girls-heads-in-a-circle-1901-1,6
pierre-auguste-renoir_bouquet-of-flowers-in-an-earthenware-pitcher,5
john-william-godward_the-betrothed-1892,8
wilhelm-kotarbinski_dying-night,0
pierre-auguste-renoir_banks-of-the-river-1,3
claude-monet_lilacs-in-the-sun,3
rembrandt_a-study-of-a-woman-asleep-1630,5
paul-delvaux_birth-of-venus-1937,4
oswaldo-guayasamin_rigoberta-mench-1996,2
pablo-picasso_crouching-woman-1902,2
koloman-moser_head-of-the-girl-1896,1
william-adolphe-bouguereau_the-thank-offering-1867,1
auguste-rodin_untitled-1905,0
julius-leblanc-stewart_half-naked-woman-1877,1
nikolay-bogdanov-belsky_self-portrait,4
henry-raeburn_portrait-of-lucius-o-beirne-bishop-of-meath,6
ferdinand-hodler_standing-draped-figure,1
paula-modersohn-becker_two-girls-standing-on-the-birch-trunk,0
gustave-dore_christian-cavaliers-captive-at-cairo,7
fyodor-alekseyev_view-of-saint-michael-s-castle-1,6
paul-klee_still-life-with-thistle-bloom-1919,9
arnold-b-cklin_hymn-to-spring,4
vincent-van-gogh_beach-and-boats-1882,3
ivan-grohar_vrbe-ob-potoku-1911,3
eliseu-visconti_latin-american-presidental-inauguration-brazil-1891-1925,1
johan-christian-dahl_stalheim-1842,7
giovanni-battista-piranesi_ceres,4
marcus-larson_fjord-landscape-in-norway-1860,7
ioannis-altamouras_altamouras-ioannis-thalassografia,6
eug-ne-grasset_spring-1894,2
jacek-yerka_sun-spots,6
anders-zorn_christmas-morning-service-1908,1
gustave-dore_elijah-is-nourished-by-an-angel,7
ligia-macovei_unknown-title-13,2
giovanni-battista-piranesi_vedute-di-roma-38,4
claude-monet_the-manneport-at-high-tide,3
zdislav-beksinski_untitled-500,8
gerard-terborch_girl-in-peasant-costume-probably-gesina-the-painter-s-half-sister,4
kuzma-petrov-vodkin_in-the-children-s-1925,9
tom-thomson_winter-thaw-in-the-woods-1917,3
mikhail-vrubel_self-portrait-1904,1
aubrey-beardsley_at-the-relton-arms,0
arthur-hughes_the-nativity,2
pierre-paul-prud-hon_portrait-of-charles-maurice-de-talleyrand-perigord-1807,4
rembrandt_old-soldier,1
albert-bierstadt_bison-with-coyotes-in-the-background,7
sir-lawrence-alma-tadema_the-last-roses-1872,7
edouard-cortes_quai-de-montebello-winter,5
yiannis-moralis_self-portrait-with-nikos-nikolaou,7
dante-gabriel-rossetti_the-blessed-damozel-1878,1
georges-papazoff_trois-figures,8
pierre-paul-prud-hon_arts-wealth-pleasure-and-philosophy-arts,8
winslow-homer_the-life-line,3
rembrandt_the-stoning-of-st-stephen-1635,7
nicholas-roerich_monhigan-study-1922-18,9
william-turner_stonehenge,7
francisco-de-zurbaran_the-young-virgin-1630,1
camille-pissarro_rouen-burial-of-cardinal-bonnechose,0
gustav-klimt_sculpture,9
vasily-tropinin_not_detected_241138,1
orest-kiprensky_portrait-of-grigory-grigorievich-kushelev-1827-1,1
kuzma-petrov-vodkin_mother-1915,3
amedeo-modigliani_seated-nude-1917-2,2
paul-delvaux_at-sea-1934,8
